"","year","month","week","jday","date","zone","metric","tempC"
"204",2021,8,31,214,2021-08-02,"mid","min",13.8
"205",2021,8,31,215,2021-08-03,"high","mean",17.3319444444444
"206",2021,8,31,215,2021-08-03,"high","max",24.8
"207",2021,8,31,215,2021-08-03,"high","min",14.6
"208",2021,8,31,215,2021-08-03,"mid","mean",17.0159722222222
"209",2021,8,31,215,2021-08-03,"mid","max",18.9
"210",2021,8,31,215,2021-08-03,"mid","min",15
"211",2021,8,31,216,2021-08-04,"high","mean",16.3743055555556
"212",2021,8,31,216,2021-08-04,"high","max",19.3
"213",2021,8,31,216,2021-08-04,"high","min",13.6
"214",2021,8,31,216,2021-08-04,"mid","mean",16.7659722222222
"215",2021,8,31,216,2021-08-04,"mid","max",17.9
"216",2021,8,31,216,2021-08-04,"mid","min",14.6
"217",2021,8,31,217,2021-08-05,"high","mean",17.8979166666667
"218",2021,8,31,217,2021-08-05,"high","max",29.2
"219",2021,8,31,217,2021-08-05,"high","min",14
"220",2021,8,31,217,2021-08-05,"mid","mean",17.3465277777778
"221",2021,8,31,217,2021-08-05,"mid","max",20.6
"222",2021,8,31,217,2021-08-05,"mid","min",14.6
"223",2021,8,32,218,2021-08-06,"high","mean",17.1854166666667
"224",2021,8,32,218,2021-08-06,"high","max",21.3
"225",2021,8,32,218,2021-08-06,"high","min",14.6
"226",2021,8,32,218,2021-08-06,"mid","mean",17.0305555555556
"227",2021,8,32,218,2021-08-06,"mid","max",19.1
"228",2021,8,32,218,2021-08-06,"mid","min",15.4
"229",2021,8,32,219,2021-08-07,"high","mean",17.2583333333333
"230",2021,8,32,219,2021-08-07,"high","max",28.1
"231",2021,8,32,219,2021-08-07,"high","min",12.7
"232",2021,8,32,219,2021-08-07,"mid","mean",16.8868055555556
"233",2021,8,32,219,2021-08-07,"mid","max",18.6
"234",2021,8,32,219,2021-08-07,"mid","min",13.8
"235",2021,8,32,220,2021-08-08,"high","mean",17.3048611111111
"236",2021,8,32,220,2021-08-08,"high","max",26.4
"237",2021,8,32,220,2021-08-08,"high","min",13.8
"238",2021,8,32,220,2021-08-08,"mid","mean",16.59375
"239",2021,8,32,220,2021-08-08,"mid","max",17.8
"240",2021,8,32,220,2021-08-08,"mid","min",14.7
"241",2021,8,32,221,2021-08-09,"high","mean",16.8743055555556
"242",2021,8,32,221,2021-08-09,"high","max",25.8
